clip_id,error_message
SxKIsWuRoL0,❌ Fail: [0;31merror:[0m [youtube] sxkiswurol0: sign in to confirm you’re not a bot. use --cookies-from-browser or --cookies for the authentication. see  https://github.com/yt-dlp/yt-dlp/wiki/faq#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. also see  https://github.com/yt-dlp/yt-dlp/wiki/extractors#exporting-youtube-cookies  for tips on effectively exporting youtube cookies
3rF_CS0O2nc,❌ Fail: [0;31merror:[0m [youtube] 3rf_cs0o2nc: video unavailable. this content isn’t available.
bjHzW7_2eSU,❌ Fail: [0;31merror:[0m [youtube] bjhzw7_2esu: sign in to confirm you’re not a bot. use --cookies-from-browser or --cookies for the authentication. see  https://github.com/yt-dlp/yt-dlp/wiki/faq#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. also see  https://github.com/yt-dlp/yt-dlp/wiki/extractors#exporting-youtube-cookies  for tips on effectively exporting youtube cookies
76FgNnlaQWk,❌ Fail: [0;31merror:[0m [youtube] 76fgnnlaqwk: video unavailable. this content isn’t available.
hSLZWmIx54c,❌ Fail: [0;31merror:[0m [youtube] hslzwmix54c: sign in to confirm you’re not a bot. use --cookies-from-browser or --cookies for the authentication. see  https://github.com/yt-dlp/yt-dlp/wiki/faq#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. also see  https://github.com/yt-dlp/yt-dlp/wiki/extractors#exporting-youtube-cookies  for tips on effectively exporting youtube cookies
C9w4qq63Wb0,❌ Fail: [0;31merror:[0m [youtube] c9w4qq63wb0: video unavailable. this content isn’t available.
JctCsXk5KBs,❌ Fail: [0;31merror:[0m [youtube] jctcsxk5kbs: video unavailable. this content isn’t available.
wFX4F0WN0bk,❌ Fail: [0;31merror:[0m [youtube] wfx4f0wn0bk: video unavailable. this content isn’t available.
I6LhB08lp7k,❌ Fail: [0;31merror:[0m [youtube] i6lhb08lp7k: video unavailable. this content isn’t available.
z0uww8Dwvws,❌ Fail: [0;31merror:[0m [youtube] z0uww8dwvws: video unavailable. this content isn’t available.
